,Dist Code,Year,State Code,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
SORGHUM AREA (1000 ha),-0.2679186067411743,-0.1356458971954728,-0.17144140697140473,-0.22784499981848144,-0.19729522331030175,-0.12887885846859112,-0.10818267225471859,-0.13971112557220003,-0.18189338785085848,0.6380993768481589,0.5730729233994509,0.22484346247752326,0.8775629072029277,0.8217542850847367,0.20000265834486836,1.0,0.873048925028872,0.09769918434007605,0.1731052891557351,0.11057816291607005,0.010605339043472474,0.0040769888190004345,0.02185313399302526,0.03747811528643858,-0.010716451713396578,-0.013894188429965306,0.02120666494520635,-0.0943254994860067,-0.08591501362503907,-0.2151384632330893,0.1304405753672154,0.05735287958561809,-0.07320122575165848,0.44596478459639455,0.2866591640837651,-0.08653615724260028,0.19240864166309365,0.06478091685465621,-0.10544626114228028,0.18450418972726376,0.10671314032510605,0.03489485188898121,0.09648418790227209,0.024457076228937998,-0.03537050666548502,-0.09249282215036639,-0.07165150915075405,-0.25440883683964827,0.7172814383311855,0.6169700977409874,0.3808021869437578,0.06837726795301197,-0.009410408321620546,0.08955391989401933,0.17718098506626212,0.16309163533858537,0.049608196836670185,0.37851784864826166,0.35985624755074597,-0.013458182466436507,0.03279778531018717,0.03264299398887517,0.11421565459431558,0.29229385677470476,0.12051989046022174,-0.015307434758068455,0.10079986561966071,0.16367089027109283,0.275472781269936,0.3168039203939202,0.09254151961585265,0.09938873384621345,-0.0655341537403398,-0.08191978435153184,-0.08886911102762342,-0.13183564109830684,0.220768304580944,-0.002709206669181335
SORGHUM PRODUCTION (1000 tons),-0.27103593169702705,-0.06776713432353342,-0.18672974399048756,-0.22071502855479883,-0.180995124904545,-0.0839278254507399,-0.1155461335625118,-0.1388401712240879,-0.16133517851057624,0.7025344312489419,0.8184962671753492,0.37258902174786296,0.675699992181053,0.7548703484376167,0.27771415604258415,0.873048925028872,1.0,0.2614913961322206,0.10419859994354141,0.08274140800578511,0.05901137267103405,0.020330611121536987,0.07160894407322624,0.10008144045738522,0.010216220517289371,0.01358556859880597,0.04990141475754128,-0.11934574751843582,-0.10622438344900655,-0.22696291772254187,0.14851405856639838,0.09534598336779954,-0.04528756170995552,0.521420685385703,0.3989894991495709,-0.027355454614919117,0.20689993235226237,0.12151933895328534,-0.0729252143738479,0.17808159394167267,0.120167470987547,0.07457436479115423,0.08462190828517037,0.04420607831304601,0.0022705632959467126,-0.10779394793203227,-0.08185180809131117,-0.2485120592420398,0.6461055202618297,0.6213997106564191,0.4541375508498548,0.03676569083125217,-0.01565177833778154,0.09476215186165704,0.149152513666437,0.14832570534397757,0.05638537579300617,0.41726896403309244,0.4260933878264552,0.032518505193290796,0.07476739943510895,0.08132533342691495,0.1943967340881428,0.2917638908625902,0.15791711718701282,0.025373329706936853,0.09871506203541641,0.16168507257594794,0.29783439539234263,0.4069328433631453,0.16199815786391028,0.11291202704410971,-0.022154385500774077,-0.07166835522111005,-0.05914528707442326,-0.12884152020961637,0.2190420910681477,-0.03534904815372391
SORGHUM YIELD (Kg per ha),-0.435157349342655,0.1768280536299398,-0.31211637623134575,-0.04940005722515121,0.00011472475963106676,0.10545883307186983,0.06450103574535307,0.016235151180374083,0.0291822358478149,0.1580477582745755,0.29711818641163323,0.8906134373020261,0.02586680275618607,0.09966808751489403,0.43380784068596967,0.09769918434007605,0.2614913961322206,1.0,-0.0664884224229823,0.03516455057314445,0.3973649168501603,0.09388512367734546,0.19655186933872534,0.2891187619628638,0.10523167437988201,0.10692612890528456,0.14322880212650432,-0.046904109722273164,-0.019012957009311816,-0.0008616440102827013,0.16632579279294357,0.23346035518727887,0.19036261834529997,0.22742506647931846,0.2480216283951289,0.23002476700365937,0.12760809867097325,0.2198009503379551,0.04038511135772686,0.10705051540350055,0.1393178454751361,0.3701733285501667,0.04737278914173785,0.05870172195175637,0.06178982763170325,-0.023109502260275302,0.005085635388992475,-0.006665049750026346,0.046254313263760775,0.07069878439420288,0.13236108676496253,0.024328443698134288,0.03594296037755022,0.12464667635079452,0.09227848643554809,0.12878378744156507,0.15900831460714504,0.08911666975057125,0.11684875027457489,0.19452469167953707,0.22750544426066063,0.2348762468541922,0.2880518885148424,0.17949320200634128,0.2458381560838679,0.2787286056378602,0.08127960086469997,0.10089513691992268,0.264619931097322,0.1624791294118923,0.14589942450739193,0.15444826714590787,0.062002932157343184,-0.06208340444479695,-0.009787074191927076,-0.06570786467249953,0.09892637387778662,-0.06519956625831286
PEARL MILLET AREA (1000 ha),-0.17238000732318595,-0.05162888437234086,-0.10347520106080368,-0.23014043515443852,-0.19025048698227373,-0.2255312714102216,0.01739936854005566,0.020289930306162583,0.09877870990226517,0.07857459466908516,0.019507986538433043,-0.025445006668307256,0.17098572274542312,0.15373022429019553,-0.0012431680362568304,0.1731052891557351,0.10419859994354141,-0.0664884224229823,1.0,0.6916657926261218,0.09247524489741098,-0.09829269331610647,-0.07821844515171529,-0.11516226291376314,-0.049364864850708755,-0.050353673617816265,-0.10353692509130376,0.13590451067594642,0.1972808889111996,0.16539078555789175,0.14914619558161102,0.10186563578006415,0.004086311243501095,-0.011405161054177841,-0.03571434317465474,-0.14986411584029827,0.35550575952021773,0.1253251643241702,-0.07248826037854786,0.0561698315300212,0.04108373435536265,0.042372820007502504,0.22640844623233514,0.08702159633234478,-0.05493017571221505,0.28654828797909404,0.2663864405539171,0.13033405589017863,0.14031839733207693,0.11761280378585749,0.0213910775233017,0.13670880482251355,0.13167844900777056,0.13407380445956396,-0.05775848573535669,-0.06748840057898983,-0.03035389920487738,0.03903479868044706,0.024797717209663016,-0.08739276676190293,-0.07689710807576591,-0.06924271905533608,-0.06327903773841692,0.16577481403973168,0.12746574348191034,0.026587043130065525,-0.035788206207893074,-0.017490593396082554,-0.05813221756609755,0.06575803934798317,0.05051579458192156,0.1392834897943715,-0.11388051482012307,-0.07177637880072368,-0.10772817905400688,-0.05100837837718135,0.12353698776572226,0.519080741190172
PEARL MILLET PRODUCTION (1000 tons),-0.17024120362771017,0.08517126846273057,-0.13276775408866517,-0.20538278690448777,-0.1565390892953867,-0.08809262215232866,0.1460270622232418,0.16878898332037842,0.2433099327471948,0.05429926715546356,0.021349860672652612,0.058609673574820914,0.1055818181177636,0.1145971258976992,0.023033360904650635,0.11057816291607005,0.08274140800578511,0.03516455057314445,0.6916657926261218,1.0,0.34616844436539823,-0.06854109620553694,-0.04344203736136598,-0.04109115499810159,-0.053640510709719785,-0.05031591050289689,-0.09804901306178039,0.18548295553200447,0.3304355840108777,0.2471208434194448,0.13998472122438463,0.13169830622142054,0.08094985855073832,-0.001973133630411947,-0.011825301025399835,-0.021200170650993454,0.17316978205389424,0.12887314244731338,0.04829628822068913,0.0842440745398297,0.09544294067973733,0.14377667938480962,0.16098265631457523,0.1407166753650966,0.043611603586094824,0.4945490560230412,0.5189008723485458,0.26524641027761386,0.0784987759165078,0.08138809333618621,0.010800763037876903,0.17840748327784584,0.22654195325548349,0.19808398965276125,-0.07316548109649709,-0.07731448447444711,-0.0034325604309369618,0.03718542868339815,0.028405714652435493,-0.03736527327276224,-0.07434987707923375,-0.0653927741243864,-0.012314429233686211,0.23347540667731884,0.26969549477412974,0.12575501265889813,-0.02870681728695322,-0.010232932034607326,0.04275900588851055,0.10840424500621645,0.12774711806035988,0.2014580423375209,-0.08065431965687689,-0.012207146431381696,-0.04914171141761766,0.05404032498114352,0.1488830010414635,0.3157758628445084
PEARL MILLET YIELD (Kg per ha),-0.3048739386562201,0.23511482050305768,-0.22666727184550578,-0.0982040375319685,0.033150255718557606,0.224018377289039,0.3243526154683854,0.31929345527633873,0.31621461747196333,0.02783165084549931,0.05409102429559172,0.35847875732484197,-0.005524279139347208,0.034945222617876526,0.2009547664580021,0.010605339043472474,0.05901137267103405,0.3973649168501603,0.09247524489741098,0.34616844436539823,1.0,0.08480771602866725,0.11732675116016512,0.1833899285764459,-0.038682039465312436,-0.011642870135984529,0.08499047257550107,0.09809915562883517,0.17491360229498604,0.2711995769665326,0.07201020513837406,0.11021419458928325,0.20551231389289448,0.09878748811809007,0.12405069438618298,0.1978782750566111,-0.020571794644455042,0.06969169649663969,0.1385771889553528,0.1932390799621751,0.2534735124916963,0.2992309029639274,0.06371386007009451,0.09619335888161025,0.06279795209343389,0.18766032561487692,0.2238409523979808,0.284031194959861,-0.016761689987772797,0.007059104674757397,-0.01988483745992784,0.10985548445257218,0.15473903210677356,0.20706717027998853,-0.10591369353493761,-0.0778144496680838,0.06476987171778804,0.04072086100061712,0.06237520577734099,0.2474259430307001,-0.009595631764502498,0.002866316579856406,0.07413781906969262,0.1702254392942085,0.2594630497176794,0.2086867053678959,0.16241538480007536,0.16483106213158386,0.27567048092375224,0.15162744919175494,0.22262723498796813,0.26954045998072523,0.044465660762603096,-0.03674383269975712,-0.0002927434695239147,0.06218389798276818,0.08902601937965245,0.052093533992193054
MAIZE AREA (1000 ha),-0.007525457763654209,0.0932985673291303,-0.061728062152878745,-0.06542796108850983,-0.08333848124618937,-0.03604827529111041,0.09413181559498092,0.02719735351779134,0.09655291371547865,-0.0365325105040039,-0.0233010095455561,0.10578257189793898,0.028189388048406913,0.06129443755466086,0.04792630437169228,0.0040769888190004345,0.020330611121536987,0.09388512367734546,-0.09829269331610647,-0.06854109620553694,0.08480771602866725,1.0,0.8020030872352768,0.18576467297313362,-0.01185714939938503,-0.010165855121969785,0.00295815278383562,0.11968733160284084,0.09984589368364728,0.09683531629867802,0.03276160413276547,0.03662075616999718,0.11257345890692798,0.047225840399039425,0.057655284448890454,0.10097677672521851,-0.01957615035934315,-0.00808153787250505,-0.035094103641560806,-0.03282102558650555,-0.039112657348046045,0.04943343064404549,-0.05378248244629642,-0.0693561724911481,0.042397989359771085,-0.0627965953990193,-0.056067006099187564,0.09033208965034664,-0.02045501888606037,-0.0049832917667597685,0.07511159232817052,-0.0070152997458923895,-0.009867303439854232,0.08297079190443866,-0.05773042225407688,-0.03436891439150254,0.1467930730131565,0.08177925396843473,0.09381312483059491,0.08962915485926819,0.07013083253088412,0.0711920906991676,0.16161994927981937,-0.030637764887463097,-0.01836305226511526,0.018173226165445668,0.06842061681686602,0.05651264505017954,0.03360133740048978,0.03618934455977456,0.049440407150090356,0.09853302146700792,-0.03768754791269045,0.031013895244250987,0.001867229290651448,0.04238314767239298,0.18609893366172803,-0.07143333090818876
MAIZE PRODUCTION (1000 tons),-0.0158105503479831,0.23958811002595748,-0.06632842282047148,-0.007391204947077978,0.050791251114807194,0.15184806976478823,0.027980748170726603,0.012730188970073579,0.05479676470787029,-0.05086355551561278,-0.0019078117491249252,0.1782424581896829,0.05983761960304617,0.1226371605882441,0.1985160593754694,0.02185313399302526,0.07160894407322624,0.19655186933872534,-0.07821844515171529,-0.04344203736136598,0.11732675116016512,0.8020030872352768,1.0,0.4605463887872743,0.03464084545748571,0.05372715025403136,0.11887725376522,-0.014403355368591279,0.0007133256058875359,0.006653699309299143,0.02455340934642164,0.04643371588569407,0.1237134548226401,0.06583820328805573,0.07212959381716912,0.09174558000223323,-0.0024085151010526606,0.0454566299237522,0.02781102815655624,0.007830415441503574,0.011551240209714075,0.14394129071815434,-0.06044019432634888,-0.04217814559366658,0.1426429428918756,-0.0625636483447661,-0.04679814759159198,0.049454644568495604,-0.004069292316819023,0.017657175239414104,0.1636819595253658,0.00494506292434483,-0.005248006938597881,0.10393976407755513,-0.06514510557861193,-0.04102835450521232,0.11898561882276233,0.13379405658730686,0.16398631395858973,0.22484318467958728,0.06456190572240872,0.07737792786056599,0.1975203835583746,-0.004440983286495224,0.033325553574610985,0.12025310486934584,0.07927310111414194,0.09605275318228601,0.11722637138725323,0.10419982227323724,0.14724915474134045,0.1711021901467824,0.08384309379722228,0.10186038379594821,0.11344053589130469,0.042572145568196766,0.25768136178599704,-0.0697266076244087
MAIZE YIELD (Kg per ha),-0.08421858061965652,0.3938660653066719,-0.16714067107002115,0.11646757308518496,0.2951584259884141,0.433161972832639,-0.020727243432429515,0.04065006943474464,0.05217900216989287,-0.04719645994803609,0.033669943198487845,0.23899710138120406,0.07691188900135702,0.1290098304677297,0.3601477528611099,0.03747811528643858,0.10008144045738522,0.2891187619628638,-0.11516226291376314,-0.04109115499810159,0.1833899285764459,0.18576467297313362,0.4605463887872743,1.0,0.16884265584278382,0.1966735750884987,0.3113406586880196,-0.15113497518637428,-0.10560281582538089,-0.05141851679785678,-0.053589072164173336,-0.001968034101352869,0.14148483627460426,0.08760034043370539,0.06553240658963848,0.09717125584993572,0.02125799748231598,0.12867398820305806,0.13250617479913276,0.09513548314658364,0.09878177530313124,0.3235837498280536,-0.037008844200982695,0.03541754046473176,0.20437650881141786,-0.06413657338393791,-0.03594332259311287,0.023181157854789892,0.0312919370851008,0.047782994677010825,0.16319632867707715,0.0353092162035746,0.011574801676811623,0.1114502431562824,-0.07281697815518426,-0.05162517265758377,0.05149492045452744,0.1485210398324215,0.19062554333956305,0.3809117738891909,0.048594836715783934,0.06407168676460821,0.16302199862934943,0.04017933233213566,0.10620574665694212,0.29182981733943003,0.08153706786596819,0.12027877735235681,0.3010802069519022,0.055882497617599544,0.09085006475320691,0.21093561660258547,0.21682663835152396,0.13820821731509905,0.20697047832471568,0.07625301438504392,0.10961149334421234,-0.11059394457351046
FINGER MILLET AREA (1000 ha),-0.07728958947254029,-0.060060233087026356,-0.15271323398121492,-0.006753574248859336,-0.015384267786011471,0.1461320385637663,-0.19014853575438784,-0.13780981789679347,-0.18848055296420957,0.0056345959643460865,0.026363802897963362,0.11497954511865265,-0.01671294164100049,-0.012427606519718776,0.19966484448517935,-0.010716451713396578,0.010216220517289371,0.10523167437988201,-0.049364864850708755,-0.053640510709719785,-0.038682039465312436,-0.01185714939938503,0.03464084545748571,0.16884265584278382,1.0,0.9258308859360679,0.38720529253340313,-0.09666009632623629,-0.0935309770943678,-0.1841967098372807,-0.12147845142216848,-0.11962315644394601,-0.07359105739714619,-0.015392769422125464,-0.03299804946636127,-0.03424905396175341,0.08534036602566213,0.06713854057793306,-0.03679668602134801,0.13109597880077062,0.1151967145162296,0.0753424053343862,0.01739346063426033,0.05216028389344778,0.1170587888455304,-0.08998181873079512,-0.07574671213769875,-0.1661121830886052,-0.028464106410072895,-0.03179590593488803,0.037840039818462144,0.031160675580914617,-0.010301304643195128,0.162909923461636,-0.08085366029726682,-0.08899350464487356,-0.1295466851545068,0.02022056440751069,0.029082541373599752,0.037282442926300535,-0.06717664429589451,-0.06060811412196714,-0.04598736733037257,0.03025418995012029,0.023810698293161955,0.027525870517707423,-0.013586145299573096,0.020978077551682222,0.25394212703954727,-0.06654187327755524,-0.05130281106740225,0.06555038187620413,0.1361274847660535,0.0818082934126897,0.1266721324142057,-0.04524604838643045,0.07667990885752986,-0.04725685319797463
FINGER MILLET PRODUCTION (1000 tons),-0.10134903411461785,-0.00624410483252184,-0.14174120452061761,-0.033353190252918795,-0.013109900649052207,0.18762634944798742,-0.17041970036228238,-0.12126400739265579,-0.18313394258480026,0.003850744737854429,0.029512484068444478,0.11182586419586517,-0.019714510915711643,-0.01053402912606978,0.1977202729293382,-0.013894188429965306,0.01358556859880597,0.10692612890528456,-0.050353673617816265,-0.05031591050289689,-0.011642870135984529,-0.010165855121969785,0.05372715025403136,0.1966735750884987,0.9258308859360679,1.0,0.4240296289232546,-0.08777469432808031,-0.08330231192481544,-0.17094502764775932,-0.10834507016476982,-0.10562191572131865,-0.06280849966470245,-0.013664634242282522,-0.027140409977220014,-0.028602347221023335,0.06651209011106025,0.061323976367619076,-0.02070428986217268,0.13615702373495933,0.1313626778310666,0.08278352304472962,0.004246176788232232,0.04078384480508231,0.12809563402146487,-0.08063950180775119,-0.06657109253465364,-0.1484705614847521,-0.029842043978193872,-0.028430803288674977,0.027540319437529368,0.023517879396582186,-0.007160763890413419,0.1818397739511134,-0.07437938045662616,-0.08212122340499046,-0.1267601169017791,0.023460379699910303,0.035870264381300115,0.07001219545450027,-0.05816237045570653,-0.052247459334865215,-0.026808887176693368,0.03341914327856706,0.0387198026084993,0.04188850267513972,-0.003199445066660337,0.035255878907246976,0.2519544659946372,-0.055275831291667826,-0.041391624060972215,0.07086841688841175,0.14597532364338853,0.0695626149705311,0.124288960583871,-0.03842474249692859,0.06320810464229448,-0.041180207786560244
FINGER MILLET YIELD (Kg per ha),0.018732705929971928,0.022799343242821943,-0.11758390249577721,0.11356257918932806,0.14403184884667852,0.3064426711580051,-0.2849165438542145,-0.2292474315354751,-0.3698661416718834,-0.03989293856584031,0.004214572056641233,0.15139828627674118,0.05251515363232616,0.0788523564852295,0.3514005005879492,0.02120666494520635,0.04990141475754128,0.14322880212650432,-0.10353692509130376,-0.09804901306178039,0.08499047257550107,0.00295815278383562,0.11887725376522,0.3113406586880196,0.38720529253340313,0.4240296289232546,1.0,-0.11215212938154205,-0.1433182902164459,-0.3053660104240637,-0.18315967884447762,-0.16720447481452416,-0.08146160834679776,-0.012730337312550372,-0.052680620317108504,-0.039314099642088755,0.04106427966335055,0.05362511085880727,-0.04358467078321786,0.21957541961413243,0.22023817127760154,0.21914282838631044,-0.035305691953801004,0.01021555428033373,0.1328442453386115,-0.1864173887385743,-0.15525611146549756,-0.30517665195796334,-0.0030376388908711564,-0.017352168720026897,0.07074443987205595,0.0270603052518685,-0.038023770098028944,0.07689078448466993,-0.11370744648183176,-0.12085509966407625,-0.1794234294781052,0.0592039261358275,0.09600019644527379,0.14938592794579564,-0.1271275338995146,-0.11015511989618922,-0.04812995716206427,0.022235747279516552,0.028146502152426853,0.04835807502883058,0.04159110265089145,0.10812583967435156,0.3190588797815836,-0.08197456816292602,-0.05865420616199611,0.1203626452429275,0.3060722720528809,0.11076243665548378,0.23595661387686642,-0.08701521682361388,0.12754776638577067,-0.11144171507457099
BARLEY AREA (1000 ha),-0.04118388481225414,-0.22189001801239436,0.03571785826338349,-0.10334184268660289,-0.14498934077637712,-0.1721156894133013,0.265555490188291,0.15667154860280286,0.10353841511600448,-0.036391252301980745,-0.08525390695559676,-0.05099036334430052,-0.09738564257879259,-0.10399095880221602,-0.16515086964090656,-0.0943254994860067,-0.11934574751843582,-0.046904109722273164,0.13590451067594642,0.18548295553200447,0.09809915562883517,0.11968733160284084,-0.014403355368591279,-0.15113497518637428,-0.09666009632623629,-0.08777469432808031,-0.11215212938154205,1.0,0.8684694613274457,0.28900146448626896,0.24844532549323398,0.2323133712743709,0.08461838091676349,-0.030094209498379574,0.02855476613709305,0.1234630066398628,-0.01803614037555527,-0.05995819952896836,-0.09339039810052305,-0.09779908755630766,-0.08968872281583799,-0.08397500034276954,0.02148351085712043,-0.05667002836973743,-0.15054977446875248,0.20069856275740758,0.16469206861101804,0.10678505080570229,-0.07740929048529877,-0.06982347002134061,-0.1390555676755825,-0.06524730860270414,-0.044632246088987235,-0.10490132724061946,-0.0069601912182178155,-0.002789164346876259,0.024951132369058153,-0.06333178654652052,-0.07176254514220588,-0.09137380779616794,-0.08764510068246961,-0.08240342682259184,-0.09044486623292751,-0.06934675583397976,-0.062174888105425694,-0.12129491011627908,-0.012955556095504467,-0.05961376617629293,-0.11185111578735916,-0.04860686681068835,-0.007153446201608508,-0.06117926406790739,-0.14230913869310557,-0.07839919369082061,-0.1261313286499634,0.027078622528190606,-0.05864265599683267,0.1332528936116447
BARLEY PRODUCTION (1000 tons),-0.07902419650128353,-0.071135423674955,0.03904007318224946,-0.13014457808237934,-0.11751299218118823,-0.08193409129313861,0.34410422607169266,0.29991319223231233,0.23181186447932156,-0.03453359698171701,-0.07479587719362887,-0.02598029835315535,-0.08796955904700117,-0.09394266334306822,-0.14932717050436933,-0.08591501362503907,-0.10622438344900655,-0.019012957009311816,0.1972808889111996,0.3304355840108777,0.17491360229498604,0.09984589368364728,0.0007133256058875359,-0.10560281582538089,-0.0935309770943678,-0.08330231192481544,-0.1433182902164459,0.8684694613274457,1.0,0.41833474740391585,0.22777466187247683,0.2404079974698001,0.117866180240831,-0.04374671495421538,0.01101335256764555,0.12043658023876488,-0.0015644829463892158,-0.002820065957477102,-0.013918546244958072,-0.08152938416588673,-0.06817608017806598,-0.01833783329623092,0.02798073554838253,-0.03273725397173432,-0.1077923719991808,0.3571026664819865,0.34404441146682807,0.20401353313303014,-0.0699714860459034,-0.06028341345605378,-0.12207120505717714,-0.05730006905209314,-0.03858177546416725,-0.04537674969964586,-0.03940753104622392,-0.02967266830078655,0.05797905806949069,-0.056192583565803755,-0.06180218097754739,-0.030861669904161403,-0.07151563493899912,-0.06628890220580745,-0.05338914094758025,-0.0007446507368149559,0.03088698926666574,-0.028731393563895424,-0.020994242782742947,-0.05165134954973712,-0.0505059209940646,0.007053609262124372,0.0587174325130471,0.009357472827012485,-0.12309906271655405,-0.0513026254257399,-0.09767805100454811,0.046306572941287295,-0.03720728388500324,0.23262782242004001
BARLEY YIELD (Kg per ha),-0.07208790254376811,0.20132587039767338,0.07923643298932125,-0.13662556843916954,-0.05402598771618142,0.022384930083854417,0.5835555946874741,0.5622206386552159,0.5985009832403578,-0.1499095819860972,-0.1661954561282165,-0.028321942919577223,-0.18093123387593335,-0.1936043168932709,-0.2957733919344675,-0.2151384632330893,-0.22696291772254187,-0.0008616440102827013,0.16539078555789175,0.2471208434194448,0.2711995769665326,0.09683531629867802,0.006653699309299143,-0.05141851679785678,-0.1841967098372807,-0.17094502764775932,-0.3053660104240637,0.28900146448626896,0.41833474740391585,1.0,0.14998499527339273,0.18843751236685857,0.2335792597866562,-0.1642248125246877,-0.09432789834093627,0.1572016272369217,-0.049842339168619944,0.017113073627592353,0.15908048349032367,-0.21531846952536934,-0.18471664209681898,-0.04641819400194674,-0.019720344810753895,-0.07046443162812407,-0.12464535642519323,0.369952244238213,0.37141193901502995,0.5057820948332049,-0.14366193090942994,-0.12316274247607308,-0.2082247000573807,-0.0806741254958168,-0.04440762769711757,-0.17656383358076239,-0.04897338099632433,0.0054318888961675214,0.2481829784404055,-0.11284919475168152,-0.12047141672245808,0.09718178880658185,0.04839721884240242,0.048834916994208825,0.07899154757367778,-0.0857312112208857,0.004351394066895804,0.032981344959169524,0.13158727211158774,0.08009509950793042,-0.14914794375137008,-0.1295816575287656,-0.032718469197083384,-0.03500342265513658,-0.24555870478075212,-0.10096417888127743,-0.19407521206085004,0.12821822624724885,-0.09943595481034653,0.2175242700448624
CHICKPEA AREA (1000 ha),-0.2504138084214774,0.016962205610628247,-0.17187783577865837,-0.19953784513522307,-0.19715880676660116,-0.16479033862832884,0.2612357846328961,0.11966737902865435,0.08808871646205339,0.11055899928516018,0.09760969366466841,0.19554857668661962,0.09775500986132289,0.14040026822835505,-0.033202222909036405,0.1304405753672154,0.14851405856639838,0.16632579279294357,0.14914619558161102,0.13998472122438463,0.07201020513837406,0.03276160413276547,0.02455340934642164,-0.053589072164173336,-0.12147845142216848,-0.10834507016476982,-0.18315967884447762,0.24844532549323398,0.22777466187247683,0.14998499527339273,1.0,0.9119971581254444,0.09831168509115472,0.22758138370569184,0.23903404287449115,0.08053444271771336,0.17074750143467324,0.14860921871283705,-0.04613899114344599,-0.02449379014003612,-0.025720810577408167,0.07515438910884763,-0.0055486192531647265,-0.04281559403987223,-0.027980536538109595,0.2209828248974612,0.172428750962812,0.0680929172783122,0.08027424400285675,0.09391459192526724,0.07787654870418202,-0.05068275481301876,-0.04211400555749705,-0.03741800259785241,0.17136948420946038,0.22941361177434144,0.19951291120513776,0.1287155255203911,0.13202306016881818,-0.08013096997104598,0.316766847633279,0.29484404763734856,0.2316885949624052,0.23536715477080836,0.1873152304688227,-0.019615799546357424,-0.043683266458357524,-0.04623512246755961,-0.08942115867437703,0.17862037678041948,0.179870055824264,0.03193927482376109,-0.1653980742656897,-0.12083510236879061,-0.16805248780120238,-0.1135097679687459,0.0959709458434457,0.30171094263305764
