column,count,missing,mean,std,min,max
Area,345374,33,11670.191258244686,45838.360276940424,0.004,8580100.0
Production,340414,4993,958371.148663977,21529823.46535475,0.0,1597800000.0
Yield,345374,33,79.40756931424346,916.6274170845521,0.0,43958.333333333336
