column,q1,q3,iqr,sample_outliers,outlier_percent
latitude,28.789246,31.370129,2.580883,0,0.0
longitude,74.768218,76.884306,2.1160879999999906,0,0.0
depth_top_cm,60.0,60.0,0.0,0,0.0
depth_bottom_cm,100.0,100.0,0.0,0,0.0
ph_h2o,7.5,8.2,0.6999999999999993,6644,13.288
organic_carbon_g_kg,3.0,5.6,2.5999999999999996,6251,12.502
total_nitrogen_g_kg,0.45,0.8,0.35000000000000003,5219,10.438
sand_pct,34.7,45.6,10.899999999999999,1351,2.702
silt_pct,28.6,35.9,7.299999999999997,2266,4.532
clay_pct,24.3,30.6,6.300000000000001,466,0.932
bulk_density_g_cm3,1.43,1.54,0.1100000000000001,1176,2.352
cec_cmol_kg,13.6,18.6,5.000000000000002,2007,4.014
coarse_fragments_vol_pct,7.5,16.8,9.3,2269,4.538
