,latitude,longitude,depth_top_cm,depth_bottom_cm,ph_h2o,organic_carbon_g_kg,total_nitrogen_g_kg,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,cec_cmol_kg,coarse_fragments_vol_pct
latitude,1.0,-0.00762752018700551,,,-0.44570466016408083,0.48931311876196637,0.5093324540405749,-0.5130441895817742,0.5110607950499462,0.27276612599658084,-0.2667372588617008,0.098422019853504,0.21771696074042068
longitude,-0.00762752018700551,1.0,,,-0.5004415262585667,0.3978363596412382,0.4924949374887602,-0.2037567084239937,0.16222407033772085,0.16617012290279165,-0.4828412611147316,0.17448591918808132,0.37067681134746433
depth_top_cm,,,,,,,,,,,,,
depth_bottom_cm,,,,,,,,,,,,,
ph_h2o,-0.44570466016408083,-0.5004415262585667,,,1.0,-0.5860161813112318,-0.7241953530952889,0.11077652685710207,-0.015126627279654038,-0.19404206438920457,0.7815617802056742,-0.3842318399699371,-0.6629112105084279
organic_carbon_g_kg,0.48931311876196637,0.3978363596412382,,,-0.5860161813112318,1.0,0.795091120990174,-0.0045968952954316515,0.13263789303891477,-0.17934608826723727,-0.589739800581067,0.5705174537434582,0.7448514770537846
total_nitrogen_g_kg,0.5093324540405749,0.4924949374887602,,,-0.7241953530952889,0.795091120990174,1.0,-0.07187593000145232,0.12060427258623421,-0.03134698747791141,-0.7113109853193224,0.5072634022062932,0.7255113493725949
sand_pct,-0.5130441895817742,-0.2037567084239937,,,0.11077652685710207,-0.0045968952954316515,-0.07187593000145232,1.0,-0.8690587385736682,-0.7120741769016115,-0.17557107304928946,0.10975037779684993,0.24740724571059597
silt_pct,0.5110607950499462,0.16222407033772085,,,-0.015126627279654038,0.13263789303891477,0.12060427258623421,-0.8690587385736682,1.0,0.2715374797573016,0.1895968004450482,-0.07671365249533454,-0.15121183386712184
clay_pct,0.27276612599658084,0.16617012290279165,,,-0.19404206438920457,-0.17934608826723727,-0.03134698747791141,-0.7120741769016115,0.2715374797573016,1.0,0.07251616195801935,-0.10465954234267234,-0.26672583900937863
bulk_density_g_cm3,-0.2667372588617008,-0.4828412611147316,,,0.7815617802056742,-0.589739800581067,-0.7113109853193224,-0.17557107304928946,0.1895968004450482,0.07251616195801935,1.0,-0.2621030758892405,-0.6138968713708762
cec_cmol_kg,0.098422019853504,0.17448591918808132,,,-0.3842318399699371,0.5705174537434582,0.5072634022062932,0.10975037779684993,-0.07671365249533454,-0.10465954234267234,-0.2621030758892405,1.0,0.6880913183841008
coarse_fragments_vol_pct,0.21771696074042068,0.37067681134746433,,,-0.6629112105084279,0.7448514770537846,0.7255113493725949,0.24740724571059597,-0.15121183386712184,-0.26672583900937863,-0.6138968713708762,0.6880913183841008,1.0
