feature_1,feature_2,correlation,abs_correlation
sand_pct,silt_pct,-0.8690587385736682,0.8690587385736682
organic_carbon_g_kg,total_nitrogen_g_kg,0.795091120990174,0.795091120990174
ph_h2o,bulk_density_g_cm3,0.7815617802056742,0.7815617802056742
organic_carbon_g_kg,coarse_fragments_vol_pct,0.7448514770537846,0.7448514770537846
total_nitrogen_g_kg,coarse_fragments_vol_pct,0.7255113493725949,0.7255113493725949
ph_h2o,total_nitrogen_g_kg,-0.7241953530952889,0.7241953530952889
sand_pct,clay_pct,-0.7120741769016115,0.7120741769016115
total_nitrogen_g_kg,bulk_density_g_cm3,-0.7113109853193224,0.7113109853193224
cec_cmol_kg,coarse_fragments_vol_pct,0.6880913183841008,0.6880913183841008
ph_h2o,coarse_fragments_vol_pct,-0.6629112105084279,0.6629112105084279
bulk_density_g_cm3,coarse_fragments_vol_pct,-0.6138968713708762,0.6138968713708762
organic_carbon_g_kg,bulk_density_g_cm3,-0.589739800581067,0.589739800581067
ph_h2o,organic_carbon_g_kg,-0.5860161813112318,0.5860161813112318
organic_carbon_g_kg,cec_cmol_kg,0.5705174537434582,0.5705174537434582
latitude,sand_pct,-0.5130441895817742,0.5130441895817742
latitude,silt_pct,0.5110607950499462,0.5110607950499462
latitude,total_nitrogen_g_kg,0.5093324540405749,0.5093324540405749
total_nitrogen_g_kg,cec_cmol_kg,0.5072634022062932,0.5072634022062932
longitude,ph_h2o,-0.5004415262585667,0.5004415262585667
longitude,total_nitrogen_g_kg,0.4924949374887602,0.4924949374887602
latitude,organic_carbon_g_kg,0.48931311876196637,0.48931311876196637
longitude,bulk_density_g_cm3,-0.4828412611147316,0.4828412611147316
latitude,ph_h2o,-0.44570466016408083,0.44570466016408083
longitude,organic_carbon_g_kg,0.3978363596412382,0.3978363596412382
ph_h2o,cec_cmol_kg,-0.3842318399699371,0.3842318399699371
longitude,coarse_fragments_vol_pct,0.37067681134746433,0.37067681134746433
latitude,clay_pct,0.27276612599658084,0.27276612599658084
silt_pct,clay_pct,0.2715374797573016,0.2715374797573016
latitude,bulk_density_g_cm3,-0.2667372588617008,0.2667372588617008
clay_pct,coarse_fragments_vol_pct,-0.26672583900937863,0.26672583900937863
bulk_density_g_cm3,cec_cmol_kg,-0.2621030758892405,0.2621030758892405
sand_pct,coarse_fragments_vol_pct,0.24740724571059597,0.24740724571059597
latitude,coarse_fragments_vol_pct,0.21771696074042068,0.21771696074042068
longitude,sand_pct,-0.2037567084239937,0.2037567084239937
ph_h2o,clay_pct,-0.19404206438920457,0.19404206438920457
silt_pct,bulk_density_g_cm3,0.1895968004450482,0.1895968004450482
organic_carbon_g_kg,clay_pct,-0.17934608826723727,0.17934608826723727
sand_pct,bulk_density_g_cm3,-0.17557107304928946,0.17557107304928946
longitude,cec_cmol_kg,0.17448591918808132,0.17448591918808132
longitude,clay_pct,0.16617012290279165,0.16617012290279165
longitude,silt_pct,0.16222407033772085,0.16222407033772085
silt_pct,coarse_fragments_vol_pct,-0.15121183386712184,0.15121183386712184
organic_carbon_g_kg,silt_pct,0.13263789303891477,0.13263789303891477
total_nitrogen_g_kg,silt_pct,0.12060427258623421,0.12060427258623421
ph_h2o,sand_pct,0.11077652685710207,0.11077652685710207
sand_pct,cec_cmol_kg,0.10975037779684993,0.10975037779684993
clay_pct,cec_cmol_kg,-0.10465954234267234,0.10465954234267234
latitude,cec_cmol_kg,0.098422019853504,0.098422019853504
silt_pct,cec_cmol_kg,-0.07671365249533454,0.07671365249533454
clay_pct,bulk_density_g_cm3,0.07251616195801935,0.07251616195801935
total_nitrogen_g_kg,sand_pct,-0.07187593000145232,0.07187593000145232
total_nitrogen_g_kg,clay_pct,-0.03134698747791141,0.03134698747791141
ph_h2o,silt_pct,-0.015126627279654038,0.015126627279654038
latitude,longitude,-0.00762752018700551,0.00762752018700551
organic_carbon_g_kg,sand_pct,-0.0045968952954316515,0.0045968952954316515
