,year,loss_percentage,source_pdf_page,source_table,source_row
year,,,,,
loss_percentage,,1.0,-0.005725301213273782,0.015293086448118448,0.006091561647787704
source_pdf_page,,-0.005725301213273782,1.0,0.07114660713531404,-0.02143235386611732
source_table,,0.015293086448118448,0.07114660713531404,1.0,-0.06662996889685141
source_row,,0.006091561647787704,-0.02143235386611732,-0.06662996889685141,1.0
