column,count,missing,mean,std,min,max
Crop_Year,9048,0,2005.0833333333333,4.7174259636035885,1997.0,2014.0
Area,9048,0,23908.36560565871,57641.79749825521,1.0,422000.0
Production,7683,1365,125948.05297409865,290494.6926877482,0.0,2894000.0
