State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,KARNAL,Bajra,2002-03,Kharif,958.0,Hectare,1000.0,Tonnes,1.0438413361169103
Haryana,KARNAL,Bajra,2003-04,Kharif,1015.0,Hectare,2000.0,Tonnes,1.9704433497536946
Haryana,KURUKSHETRA,Bajra,2001-02,Kharif,40.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Bajra,2002-03,Kharif,103.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Bajra,2003-04,Kharif,93.0,Hectare,0.0,Tonnes,0.0
Haryana,MAHENDRAGARH,Bajra,2001-02,Kharif,103454.0,Hectare,154000.0,Tonnes,1.488584298335492
Haryana,MAHENDRAGARH,Bajra,2002-03,Kharif,56593.0,Hectare,49000.0,Tonnes,0.8658314632551729
Haryana,MAHENDRAGARH,Bajra,2003-04,Kharif,109115.0,Hectare,213000.0,Tonnes,1.9520689181139166
Haryana,PANCHKULA,Bajra,2001-02,Kharif,345.0,Hectare,0.0,Tonnes,0.0
Haryana,PANCHKULA,Bajra,2002-03,Kharif,782.0,Hectare,1000.0,Tonnes,1.278772378516624
Haryana,PANCHKULA,Bajra,2003-04,Kharif,499.0,Hectare,2000.0,Tonnes,4.008016032064128
Haryana,PANIPAT,Bajra,2001-02,Kharif,410.0,Hectare,0.0,Tonnes,0.0
Haryana,PANIPAT,Bajra,2002-03,Kharif,551.0,Hectare,1000.0,Tonnes,1.8148820326678765
Haryana,PANIPAT,Bajra,2003-04,Kharif,575.0,Hectare,2000.0,Tonnes,3.4782608695652173
Haryana,REWARI,Bajra,2001-02,Kharif,58775.0,Hectare,91000.0,Tonnes,1.548277328796257
Haryana,REWARI,Bajra,2002-03,Kharif,38030.0,Hectare,26000.0,Tonnes,0.6836707862214042
Haryana,REWARI,Bajra,2003-04,Kharif,60559.0,Hectare,101000.0,Tonnes,1.6677950428507737
Haryana,ROHTAK,Bajra,2001-02,Kharif,17245.0,Hectare,22000.0,Tonnes,1.2757320962597853
Haryana,ROHTAK,Bajra,2002-03,Kharif,15455.0,Hectare,15000.0,Tonnes,0.9705596894208994
Haryana,ROHTAK,Bajra,2003-04,Kharif,16080.0,Hectare,30000.0,Tonnes,1.8656716417910448
Haryana,SIRSA,Bajra,2001-02,Kharif,3393.0,Hectare,5000.0,Tonnes,1.4736221632773356
Haryana,SIRSA,Bajra,2002-03,Kharif,5850.0,Hectare,5000.0,Tonnes,0.8547008547008547
Haryana,SIRSA,Bajra,2003-04,Kharif,8177.0,Hectare,15000.0,Tonnes,1.8344135991194814
Haryana,SONIPAT,Bajra,2001-02,Kharif,7672.0,Hectare,11000.0,Tonnes,1.4337851929092804
Haryana,SONIPAT,Bajra,2002-03,Kharif,2979.0,Hectare,5000.0,Tonnes,1.6784155756965424
Haryana,SONIPAT,Bajra,2003-04,Kharif,6890.0,Hectare,11000.0,Tonnes,1.5965166908563135
Haryana,YAMUNANAGAR,Bajra,2001-02,Kharif,1084.0,Hectare,1000.0,Tonnes,0.922509225092251
Haryana,YAMUNANAGAR,Bajra,2002-03,Kharif,982.0,Hectare,1000.0,Tonnes,1.0183299389002036
Haryana,YAMUNANAGAR,Bajra,2003-04,Kharif,733.0,Hectare,2000.0,Tonnes,2.728512960436562
Haryana,FARIDABAD,Banana,2002-03,Whole Year,2.0,Hectare,0.0,Tonnes,0.0
Haryana,FARIDABAD,Banana,2003-04,Whole Year,5.0,Hectare,0.0,Tonnes,0.0
Haryana,JHAJJAR,Banana,2002-03,Whole Year,103.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Banana,2002-03,Whole Year,2.0,Hectare,0.0,Tonnes,0.0
Haryana,KURUKSHETRA,Banana,2003-04,Whole Year,2.0,Hectare,0.0,Tonnes,0.0
Haryana,PANIPAT,Banana,2003-04,Whole Year,2.0,Hectare,0.0,Tonnes,0.0
Haryana,SONIPAT,Banana,2002-03,Whole Year,47.0,Hectare,0.0,Tonnes,0.0
Haryana,SONIPAT,Banana,2003-04,Whole Year,43.0,Hectare,0.0,Tonnes,0.0
Haryana,AMBALA,Barley,2001-02,Rabi,54.0,Hectare,0.0,Tonnes,0.0
Haryana,AMBALA,Barley,2002-03,Rabi,39.0,Hectare,0.0,Tonnes,0.0
Haryana,AMBALA,Barley,2003-04,Rabi,40.0,Hectare,0.0,Tonnes,0.0
Haryana,BHIWANI,Barley,2001-02,Rabi,4055.0,Hectare,12000.0,Tonnes,2.9593094944512948
Haryana,BHIWANI,Barley,2002-03,Rabi,6086.0,Hectare,16000.0,Tonnes,2.628984554715741
Haryana,BHIWANI,Barley,2003-04,Rabi,4905.0,Hectare,12000.0,Tonnes,2.4464831804281344
Haryana,FARIDABAD,Barley,2001-02,Rabi,1825.0,Hectare,6000.0,Tonnes,3.287671232876712
