column,q1,q3,iqr,sample_outliers,outlier_percent
latitude,28.789246,31.370129,2.580883,0,0.0
longitude,74.768218,76.884306,2.1160879999999906,0,0.0
depth_top_cm,100.0,100.0,0.0,0,0.0
depth_bottom_cm,200.0,200.0,0.0,0,0.0
ph_h2o,7.5,8.2,0.6999999999999993,6338,12.676
organic_carbon_g_kg,2.4,5.4,3.0000000000000004,5600,11.2
total_nitrogen_g_kg,0.39,0.68,0.29000000000000004,5228,10.456
sand_pct,35.9,47.0,11.100000000000001,1187,2.374
silt_pct,27.7,34.8,7.099999999999998,2593,5.186
clay_pct,23.8,30.1,6.300000000000001,458,0.916
bulk_density_g_cm3,1.43,1.54,0.1100000000000001,1188,2.376
cec_cmol_kg,13.1,18.5,5.4,1843,3.686
coarse_fragments_vol_pct,8.8,18.2,9.399999999999999,2168,4.336
