,latitude,longitude,depth_top_cm,depth_bottom_cm,ph_h2o,organic_carbon_g_kg,total_nitrogen_g_kg,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,cec_cmol_kg,coarse_fragments_vol_pct
latitude,1.0,-0.00762752018700551,,,-0.45176021615264433,0.4665370991255763,0.5228237704920163,-0.5343528381433783,0.5380373899549681,0.2740488087742869,-0.2770529548928682,0.05893734076971594,0.21340307156511024
longitude,-0.00762752018700551,1.0,,,-0.4975872596455084,0.36846996339966004,0.47305371329136453,-0.19305973982592872,0.13054546465336134,0.1915126901815929,-0.48906637182542856,0.17406395886942072,0.3536187745252427
depth_top_cm,,,,,,,,,,,,,
depth_bottom_cm,,,,,,,,,,,,,
ph_h2o,-0.45176021615264433,-0.4975872596455084,,,1.0,-0.5561570629083943,-0.6690346420047079,0.12094273930886845,-0.03600391769261606,-0.18638297851125388,0.7781866503835583,-0.3958301990170231,-0.6504218388517473
organic_carbon_g_kg,0.4665370991255763,0.36846996339966004,,,-0.5561570629083943,1.0,0.7647913220937088,-0.0037483770703101173,0.1244353069882356,-0.17292445618830682,-0.5122025574978141,0.5644270588374707,0.7397121513734602
total_nitrogen_g_kg,0.5228237704920163,0.47305371329136453,,,-0.6690346420047079,0.7647913220937088,1.0,-0.1004850301345589,0.16365362082513155,-0.03901127943075616,-0.6560433584516279,0.4556923473074464,0.6843778114106912
sand_pct,-0.5343528381433783,-0.19305973982592872,,,0.12094273930886845,-0.0037483770703101173,-0.1004850301345589,1.0,-0.8729001598557953,-0.7070068042335745,-0.12457548740925033,0.1398076721551823,0.24207018111932796
silt_pct,0.5380373899549681,0.13054546465336134,,,-0.03600391769261606,0.1244353069882356,0.16365362082513155,-0.8729001598557953,1.0,0.2721413247197909,0.1635433781088536,-0.10863544648648339,-0.13554554086657983
clay_pct,0.2740488087742869,0.1915126901815929,,,-0.18638297851125388,-0.17292445618830682,-0.03901127943075616,-0.7070068042335745,0.2721413247197909,1.0,0.008614730586268824,-0.11821592399463005,-0.2809458817559552
bulk_density_g_cm3,-0.2770529548928682,-0.48906637182542856,,,0.7781866503835583,-0.5122025574978141,-0.6560433584516279,-0.12457548740925033,0.1635433781088536,0.008614730586268824,1.0,-0.23509781526559617,-0.5563194957217275
cec_cmol_kg,0.05893734076971594,0.17406395886942072,,,-0.3958301990170231,0.5644270588374707,0.4556923473074464,0.1398076721551823,-0.10863544648648339,-0.11821592399463005,-0.23509781526559617,1.0,0.6951713480794436
coarse_fragments_vol_pct,0.21340307156511024,0.3536187745252427,,,-0.6504218388517473,0.7397121513734602,0.6843778114106912,0.24207018111932796,-0.13554554086657983,-0.2809458817559552,-0.5563194957217275,0.6951713480794436,1.0
