column,q1,q3,iqr,sample_outliers,outlier_percent
Area,100.0,8000.0,7900.0,2389,19.193379930907046
Production,200.0,60000.0,59800.0,2222,20.146885483724727
Yield,0.55,4.0,3.45,1633,13.1196272194103
