column,value,sample_count,sample_percent
State,Haryana,8305,66.72290511769904
State,Punjab,4142,33.27709488230096
District,HISAR,450,3.6153289949385394
District,PANCHKULA,450,3.6153289949385394
District,KARNAL,448,3.5992608660721457
District,SIRSA,445,3.5751586727725555
District,BHIWANI,443,3.559090543906162
District,YAMUNANAGAR,439,3.526954286173375
District,AMBALA,433,3.478749899574195
District,FATEHABAD,422,3.3903751908090305
District,SONIPAT,416,3.3421708042098497
District,PANIPAT,412,3.3100345464770626
District,KURUKSHETRA,399,3.205591708845505
District,KAITHAL,396,3.181489515545915
District,REWARI,394,3.165421386679521
District,JHAJJAR,393,3.1573873222463242
District,GURGAON,385,3.0931148067807506
District,ROHTAK,385,3.0931148067807506
District,FARIDABAD,372,2.9886719691491925
District,JIND,371,2.9806379047159957
District,MAHENDRAGARH,351,2.819956616052061
District,SANGRUR,272,2.185265525829517
District,MEWAT,257,2.0647545593315657
District,HOSHIARPUR,256,2.0567204948983693
District,AMRITSAR,249,2.0004820438659916
District,LUDHIANA,235,1.8880051418012374
District,PATIALA,232,1.863902948501647
District,MANSA,231,1.8558688840684503
District,BATHINDA,230,1.8478348196352534
District,FIROZEPUR,228,1.83176669076886
District,MUKTSAR,227,1.8237326263356632
District,JALANDHAR,216,1.735357917570499
Crop,Wheat,915,7.35116895637503
Crop,Rice,896,7.198521732144291
Crop,Rapeseed &Mustard,815,6.547762513055354
Crop,Sugarcane,717,5.760424198602073
Crop,Moong(Green Gram),653,5.24624407487748
Crop,Arhar/Tur,645,5.181971559411907
Crop,Cotton(lint),625,5.021290270747971
Crop,Gram,621,4.989154013015185
Crop,Barley,620,4.981119948581988
Crop,Maize,616,4.9489836908492
Crop,Sesamum,583,4.683859564553708
Crop,Bajra,523,4.201815698561902
Crop,Peas & beans (Pulses),519,4.169679440829116
Crop,Masoor,411,3.302000482043866
Crop,Potato,370,2.9726038402827992
Crop,Onion,361,2.9002972603840282
Crop,Urad,321,2.578934683056158
Crop,Groundnut,297,2.386117136659436
Crop,Jowar,279,2.2415039768618943
Crop,Garlic,231,1.8558688840684503
Crop,Dry chillies,207,1.6630513376717282
Crop,Guar seed,171,1.373825018076645
Crop,Coriander,169,1.3577568892102514
Crop,Sunflower,150,1.2051096649795132
Crop,Moth,136,1.0926327629147585
Crop,Sannhamp,132,1.0604965051819715
Crop,Turmeric,104,0.8355427010524624
Crop,Sweet potato,71,0.5704185747569696
Crop,Castor seed,67,0.5382823170241825
Crop,Horse-gram,64,0.5141801237245923
Year,2019-20,629,5.053426528480759
Year,2018-19,625,5.021290270747971
Year,2017-18,585,4.6999276934201015
Year,2008-09,574,4.611552984654937
Year,2012-13,574,4.611552984654937
Year,2003-04,569,4.571382662488953
Year,2006-07,568,4.563348598055756
Year,2010-11,561,4.507110147023379
Year,2005-06,559,4.4910420181569854
Year,2000-01,551,4.426769502691411
Year,2011-12,546,4.386599180525428
Year,2002-03,545,4.378565116092231
Year,2001-02,544,4.370531051659034
Year,2004-05,544,4.370531051659034
Year,1998-99,543,4.362496987225837
Year,2007-08,542,4.35446292279264
Year,2016-17,538,4.322326665059854
Year,2009-10,534,4.290190407327067
Year,1999-00,516,4.145577247529525
Year,2013-14,503,4.041134409897968
Year,2014-15,487,3.9125893789668194
Year,2015-16,483,3.8804531212340323
Year,1997-98,327,2.6271390696553385
Season,Kharif,5982,48.05977343938299
Season,Rabi,4009,32.20856431268579
Season,Whole Year,2456,19.73166224793123
Area Units,Hectare,12447,100.0
Production Units,Tonnes,11821,94.97067566481883
Production Units,Bales,626,5.029324335181168
