column,count,missing,mean,std,min,max
Crop_Year,246091,0,2005.6430182330926,4.95215379093688,1997.0,2015.0
Area,246091,0,12002.82086370489,50523.30136693672,0.04,8580100.0
Production,242361,3730,582503.442250981,17065777.96494959,0.0,1250800000.0
