column,q1,q3,iqr,sample_outliers,outlier_percent
id,2729325.5,8155535.5,5426210.0,0,0.0
state_code,10.0,24.0,14.0,0,0.0
district_code,218.0,484.0,266.0,0,0.0
block_code,2207.0,4360.0,2153.0,14,0.028
village_code,248254.25,517053.75,268799.5,522,1.044
value,0.0,11.0,11.0,6677,13.354
