column,q1,q3,iqr,sample_outliers,outlier_percent
year,2022.0,2022.0,0.0,0,0.0
loss_percentage,0.06,1.0350000000000001,0.9750000000000001,22,13.414634146341463
source_pdf_page,272.0,280.0,8.0,0,0.0
source_table,2.0,2.0,0.0,0,0.0
source_row,12.0,26.0,14.0,0,0.0
