column,q1,q3,iqr,sample_outliers,outlier_percent
latitude,28.789246,31.370129,2.580883,0,0.0
longitude,74.768218,76.884306,2.1160879999999906,0,0.0
depth_top_cm,0.0,0.0,0.0,0,0.0
depth_bottom_cm,5.0,5.0,0.0,0,0.0
ph_h2o,7.2,8.0,0.7999999999999998,2608,5.216
organic_carbon_g_kg,9.8,19.7,9.899999999999999,9128,18.256
total_nitrogen_g_kg,1.05,1.69,0.6399999999999999,9785,19.57
sand_pct,38.5,47.3,8.799999999999997,1938,3.876
silt_pct,28.6,37.1,8.5,1504,3.008
clay_pct,22.1,26.2,4.099999999999998,1071,2.142
bulk_density_g_cm3,1.39,1.47,0.08000000000000007,8799,17.598
cec_cmol_kg,14.8,21.1,6.300000000000001,1140,2.28
coarse_fragments_vol_pct,6.175,12.2,6.0249999999999995,3083,6.166
