feature_1,feature_2,correlation,abs_correlation
organic_carbon_g_kg,total_nitrogen_g_kg,0.953709729107303,0.953709729107303
sand_pct,silt_pct,-0.904159058230577,0.904159058230577
organic_carbon_g_kg,bulk_density_g_cm3,-0.9021393330988137,0.9021393330988137
total_nitrogen_g_kg,bulk_density_g_cm3,-0.87347570638298,0.87347570638298
ph_h2o,total_nitrogen_g_kg,-0.8646123490989738,0.8646123490989738
ph_h2o,organic_carbon_g_kg,-0.8520436557093806,0.8520436557093806
ph_h2o,bulk_density_g_cm3,0.8073421703060442,0.8073421703060442
bulk_density_g_cm3,coarse_fragments_vol_pct,-0.7660929895038662,0.7660929895038662
cec_cmol_kg,coarse_fragments_vol_pct,0.7632139249322485,0.7632139249322485
bulk_density_g_cm3,cec_cmol_kg,-0.682337759848016,0.682337759848016
organic_carbon_g_kg,cec_cmol_kg,0.6678107049164747,0.6678107049164747
organic_carbon_g_kg,coarse_fragments_vol_pct,0.6626649875662947,0.6626649875662947
total_nitrogen_g_kg,cec_cmol_kg,0.6345287474254767,0.6345287474254767
ph_h2o,cec_cmol_kg,-0.6281867376258932,0.6281867376258932
total_nitrogen_g_kg,coarse_fragments_vol_pct,0.6216108610866968,0.6216108610866968
ph_h2o,coarse_fragments_vol_pct,-0.60058535154189,0.60058535154189
longitude,bulk_density_g_cm3,-0.596432547900014,0.596432547900014
latitude,total_nitrogen_g_kg,0.5918837303519963,0.5918837303519963
latitude,organic_carbon_g_kg,0.5848708412760463,0.5848708412760463
latitude,silt_pct,0.5722253937437002,0.5722253937437002
latitude,sand_pct,-0.5070864434179515,0.5070864434179515
longitude,organic_carbon_g_kg,0.4863732175269474,0.4863732175269474
longitude,total_nitrogen_g_kg,0.4708066115223906,0.4708066115223906
longitude,ph_h2o,-0.46362048955220264,0.46362048955220264
latitude,ph_h2o,-0.45718985879754465,0.45718985879754465
longitude,coarse_fragments_vol_pct,0.3840351337789176,0.3840351337789176
latitude,bulk_density_g_cm3,-0.37118059667534514,0.37118059667534514
sand_pct,clay_pct,-0.3609331463971714,0.3609331463971714
latitude,cec_cmol_kg,0.28579459989591444,0.28579459989591444
longitude,cec_cmol_kg,0.27963955574469657,0.27963955574469657
longitude,silt_pct,0.24478220017941915,0.24478220017941915
longitude,sand_pct,-0.23341143541569592,0.23341143541569592
organic_carbon_g_kg,silt_pct,0.22558750623267113,0.22558750623267113
total_nitrogen_g_kg,silt_pct,0.20700403973290177,0.20700403973290177
latitude,coarse_fragments_vol_pct,0.1871325964650971,0.1871325964650971
clay_pct,coarse_fragments_vol_pct,-0.1763711675403625,0.1763711675403625
total_nitrogen_g_kg,sand_pct,-0.17159799929539818,0.17159799929539818
organic_carbon_g_kg,sand_pct,-0.16573159776569157,0.16573159776569157
sand_pct,coarse_fragments_vol_pct,0.1497249160693024,0.1497249160693024
clay_pct,bulk_density_g_cm3,0.14641692168819234,0.14641692168819234
ph_h2o,silt_pct,-0.12428051127567018,0.12428051127567018
organic_carbon_g_kg,clay_pct,-0.10558760390935788,0.10558760390935788
ph_h2o,sand_pct,0.10405730051850313,0.10405730051850313
silt_pct,coarse_fragments_vol_pct,-0.07935818269441407,0.07935818269441407
silt_pct,clay_pct,-0.07200708180394624,0.07200708180394624
latitude,clay_pct,-0.06531725059748336,0.06531725059748336
clay_pct,cec_cmol_kg,0.0553901843216331,0.0553901843216331
total_nitrogen_g_kg,clay_pct,-0.051333579573613064,0.051333579573613064
sand_pct,cec_cmol_kg,-0.04863019026330601,0.04863019026330601
silt_pct,bulk_density_g_cm3,-0.03904677367920655,0.03904677367920655
ph_h2o,clay_pct,0.02844523600785718,0.02844523600785718
silt_pct,cec_cmol_kg,0.02661297672104697,0.02661297672104697
sand_pct,bulk_density_g_cm3,-0.026178250237729562,0.026178250237729562
longitude,clay_pct,0.010641119892177772,0.010641119892177772
latitude,longitude,-0.00762752018700551,0.00762752018700551
