,latitude,longitude,depth_top_cm,depth_bottom_cm,ph_h2o,organic_carbon_g_kg,total_nitrogen_g_kg,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,cec_cmol_kg,coarse_fragments_vol_pct
latitude,1.0,-0.00762752018700551,,,-0.45718985879754465,0.5848708412760463,0.5918837303519963,-0.5070864434179515,0.5722253937437002,-0.06531725059748336,-0.37118059667534514,0.28579459989591444,0.1871325964650971
longitude,-0.00762752018700551,1.0,,,-0.46362048955220264,0.4863732175269474,0.4708066115223906,-0.23341143541569592,0.24478220017941915,0.010641119892177772,-0.596432547900014,0.27963955574469657,0.3840351337789176
depth_top_cm,,,,,,,,,,,,,
depth_bottom_cm,,,,,,,,,,,,,
ph_h2o,-0.45718985879754465,-0.46362048955220264,,,1.0,-0.8520436557093806,-0.8646123490989738,0.10405730051850313,-0.12428051127567018,0.02844523600785718,0.8073421703060442,-0.6281867376258932,-0.60058535154189
organic_carbon_g_kg,0.5848708412760463,0.4863732175269474,,,-0.8520436557093806,1.0,0.953709729107303,-0.16573159776569157,0.22558750623267113,-0.10558760390935788,-0.9021393330988137,0.6678107049164747,0.6626649875662947
total_nitrogen_g_kg,0.5918837303519963,0.4708066115223906,,,-0.8646123490989738,0.953709729107303,1.0,-0.17159799929539818,0.20700403973290177,-0.051333579573613064,-0.87347570638298,0.6345287474254767,0.6216108610866968
sand_pct,-0.5070864434179515,-0.23341143541569592,,,0.10405730051850313,-0.16573159776569157,-0.17159799929539818,1.0,-0.904159058230577,-0.3609331463971714,-0.026178250237729562,-0.04863019026330601,0.1497249160693024
silt_pct,0.5722253937437002,0.24478220017941915,,,-0.12428051127567018,0.22558750623267113,0.20700403973290177,-0.904159058230577,1.0,-0.07200708180394624,-0.03904677367920655,0.02661297672104697,-0.07935818269441407
clay_pct,-0.06531725059748336,0.010641119892177772,,,0.02844523600785718,-0.10558760390935788,-0.051333579573613064,-0.3609331463971714,-0.07200708180394624,1.0,0.14641692168819234,0.0553901843216331,-0.1763711675403625
bulk_density_g_cm3,-0.37118059667534514,-0.596432547900014,,,0.8073421703060442,-0.9021393330988137,-0.87347570638298,-0.026178250237729562,-0.03904677367920655,0.14641692168819234,1.0,-0.682337759848016,-0.7660929895038662
cec_cmol_kg,0.28579459989591444,0.27963955574469657,,,-0.6281867376258932,0.6678107049164747,0.6345287474254767,-0.04863019026330601,0.02661297672104697,0.0553901843216331,-0.682337759848016,1.0,0.7632139249322485
coarse_fragments_vol_pct,0.1871325964650971,0.3840351337789176,,,-0.60058535154189,0.6626649875662947,0.6216108610866968,0.1497249160693024,-0.07935818269441407,-0.1763711675403625,-0.7660929895038662,0.7632139249322485,1.0
