column,q1,q3,iqr,sample_outliers,outlier_percent
latitude,28.789246,31.370129,2.580883,0,0.0
longitude,74.768218,76.884306,2.1160879999999906,0,0.0
depth_top_cm,5.0,5.0,0.0,0,0.0
depth_bottom_cm,15.0,15.0,0.0,0,0.0
ph_h2o,7.3,8.0,0.7000000000000002,5915,11.83
organic_carbon_g_kg,7.0,13.6,6.6,8854,17.708
total_nitrogen_g_kg,0.74,1.27,0.53,9375,18.75
sand_pct,38.0,47.2,9.200000000000003,1686,3.372
silt_pct,28.6,36.9,8.299999999999997,1498,2.996
clay_pct,22.6,26.6,4.0,1171,2.342
bulk_density_g_cm3,1.4,1.49,0.09000000000000008,8086,16.172
cec_cmol_kg,13.5,19.1,5.600000000000001,1623,3.246
coarse_fragments_vol_pct,6.1,12.4,6.300000000000001,3303,6.606
