,latitude,longitude,depth_top_cm,depth_bottom_cm,ph_h2o,organic_carbon_g_kg,total_nitrogen_g_kg,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,cec_cmol_kg,coarse_fragments_vol_pct
latitude,1.0,-0.00762752018700551,,,-0.45149188784556027,0.5714593706627124,0.5521551025403949,-0.5135436541410855,0.564783658386553,0.028230994782375455,-0.2988316412592054,0.15988796088842458,0.22180888582300132
longitude,-0.00762752018700551,1.0,,,-0.4684424904362717,0.48079063061308763,0.5207988016335713,-0.2386261832930671,0.24597903269932908,0.04865924948765977,-0.5798703074035618,0.18707084521782885,0.39578976052440695
depth_top_cm,,,,,,,,,,,,,
depth_bottom_cm,,,,,,,,,,,,,
ph_h2o,-0.45149188784556027,-0.4684424904362717,,,1.0,-0.823251609178528,-0.8267658438784046,0.10251010424721788,-0.11769970851740702,0.005003146838335614,0.807686542756555,-0.48288069134743217,-0.6335166390872655
organic_carbon_g_kg,0.5714593706627124,0.48079063061308763,,,-0.823251609178528,1.0,0.9332854148918664,-0.1442956612403133,0.21611955951426187,-0.11588665517977002,-0.8626413440327828,0.5720098122418315,0.7384123771937943
total_nitrogen_g_kg,0.5521551025403949,0.5207988016335713,,,-0.8267658438784046,0.9332854148918664,1.0,-0.16016519296426288,0.2164375516667096,-0.07802186251534457,-0.8670849076043488,0.5331043759007886,0.737480228474961
sand_pct,-0.5135436541410855,-0.2386261832930671,,,0.10251010424721788,-0.1442956612403133,-0.16016519296426288,1.0,-0.9113307280624653,-0.46121256339818206,-0.11825777925139525,0.05027628724769052,0.1369717031452188
silt_pct,0.564783658386553,0.24597903269932908,,,-0.11769970851740702,0.21611955951426187,0.2164375516667096,-0.9113307280624653,1.0,0.05509567369491425,0.05844377254959035,-0.05815113530970013,-0.059478052463062044
clay_pct,0.028230994782375455,0.04865924948765977,,,0.005003146838335614,-0.11588665517977002,-0.07802186251534457,-0.46121256339818206,0.05509567369491425,1.0,0.1608319250277439,0.0033441952845562634,-0.2040703309361261
bulk_density_g_cm3,-0.2988316412592054,-0.5798703074035618,,,0.807686542756555,-0.8626413440327828,-0.8670849076043488,-0.11825777925139525,0.05844377254959035,0.1608319250277439,1.0,-0.5333534596165476,-0.7705609746547942
cec_cmol_kg,0.15988796088842458,0.18707084521782885,,,-0.48288069134743217,0.5720098122418315,0.5331043759007886,0.05027628724769052,-0.05815113530970013,0.0033441952845562634,-0.5333534596165476,1.0,0.7330492069206612
coarse_fragments_vol_pct,0.22180888582300132,0.39578976052440695,,,-0.6335166390872655,0.7384123771937943,0.737480228474961,0.1369717031452188,-0.059478052463062044,-0.2040703309361261,-0.7705609746547942,0.7330492069206612,1.0
