feature_1,feature_2,correlation,abs_correlation
organic_carbon_g_kg,total_nitrogen_g_kg,0.9332854148918664,0.9332854148918664
sand_pct,silt_pct,-0.9113307280624653,0.9113307280624653
total_nitrogen_g_kg,bulk_density_g_cm3,-0.8670849076043488,0.8670849076043488
organic_carbon_g_kg,bulk_density_g_cm3,-0.8626413440327828,0.8626413440327828
ph_h2o,total_nitrogen_g_kg,-0.8267658438784046,0.8267658438784046
ph_h2o,organic_carbon_g_kg,-0.823251609178528,0.823251609178528
ph_h2o,bulk_density_g_cm3,0.807686542756555,0.807686542756555
bulk_density_g_cm3,coarse_fragments_vol_pct,-0.7705609746547942,0.7705609746547942
organic_carbon_g_kg,coarse_fragments_vol_pct,0.7384123771937943,0.7384123771937943
total_nitrogen_g_kg,coarse_fragments_vol_pct,0.737480228474961,0.737480228474961
cec_cmol_kg,coarse_fragments_vol_pct,0.7330492069206612,0.7330492069206612
ph_h2o,coarse_fragments_vol_pct,-0.6335166390872655,0.6335166390872655
longitude,bulk_density_g_cm3,-0.5798703074035618,0.5798703074035618
organic_carbon_g_kg,cec_cmol_kg,0.5720098122418315,0.5720098122418315
latitude,organic_carbon_g_kg,0.5714593706627124,0.5714593706627124
latitude,silt_pct,0.564783658386553,0.564783658386553
latitude,total_nitrogen_g_kg,0.5521551025403949,0.5521551025403949
bulk_density_g_cm3,cec_cmol_kg,-0.5333534596165476,0.5333534596165476
total_nitrogen_g_kg,cec_cmol_kg,0.5331043759007886,0.5331043759007886
longitude,total_nitrogen_g_kg,0.5207988016335713,0.5207988016335713
latitude,sand_pct,-0.5135436541410855,0.5135436541410855
ph_h2o,cec_cmol_kg,-0.48288069134743217,0.48288069134743217
longitude,organic_carbon_g_kg,0.48079063061308763,0.48079063061308763
longitude,ph_h2o,-0.4684424904362717,0.4684424904362717
sand_pct,clay_pct,-0.46121256339818206,0.46121256339818206
latitude,ph_h2o,-0.45149188784556027,0.45149188784556027
longitude,coarse_fragments_vol_pct,0.39578976052440695,0.39578976052440695
latitude,bulk_density_g_cm3,-0.2988316412592054,0.2988316412592054
longitude,silt_pct,0.24597903269932908,0.24597903269932908
longitude,sand_pct,-0.2386261832930671,0.2386261832930671
latitude,coarse_fragments_vol_pct,0.22180888582300132,0.22180888582300132
total_nitrogen_g_kg,silt_pct,0.2164375516667096,0.2164375516667096
organic_carbon_g_kg,silt_pct,0.21611955951426187,0.21611955951426187
clay_pct,coarse_fragments_vol_pct,-0.2040703309361261,0.2040703309361261
longitude,cec_cmol_kg,0.18707084521782885,0.18707084521782885
clay_pct,bulk_density_g_cm3,0.1608319250277439,0.1608319250277439
total_nitrogen_g_kg,sand_pct,-0.16016519296426288,0.16016519296426288
latitude,cec_cmol_kg,0.15988796088842458,0.15988796088842458
organic_carbon_g_kg,sand_pct,-0.1442956612403133,0.1442956612403133
sand_pct,coarse_fragments_vol_pct,0.1369717031452188,0.1369717031452188
sand_pct,bulk_density_g_cm3,-0.11825777925139525,0.11825777925139525
ph_h2o,silt_pct,-0.11769970851740702,0.11769970851740702
organic_carbon_g_kg,clay_pct,-0.11588665517977002,0.11588665517977002
ph_h2o,sand_pct,0.10251010424721788,0.10251010424721788
total_nitrogen_g_kg,clay_pct,-0.07802186251534457,0.07802186251534457
silt_pct,coarse_fragments_vol_pct,-0.059478052463062044,0.059478052463062044
silt_pct,bulk_density_g_cm3,0.05844377254959035,0.05844377254959035
silt_pct,cec_cmol_kg,-0.05815113530970013,0.05815113530970013
silt_pct,clay_pct,0.05509567369491425,0.05509567369491425
sand_pct,cec_cmol_kg,0.05027628724769052,0.05027628724769052
longitude,clay_pct,0.04865924948765977,0.04865924948765977
latitude,clay_pct,0.028230994782375455,0.028230994782375455
latitude,longitude,-0.00762752018700551,0.00762752018700551
ph_h2o,clay_pct,0.005003146838335614,0.005003146838335614
clay_pct,cec_cmol_kg,0.0033441952845562634,0.0033441952845562634
