feature_1,feature_2,correlation,abs_correlation
sand_pct,silt_pct,-0.8711238573845591,0.8711238573845591
organic_carbon_g_kg,total_nitrogen_g_kg,0.8430633980897618,0.8430633980897618
ph_h2o,total_nitrogen_g_kg,-0.7892547202790582,0.7892547202790582
ph_h2o,bulk_density_g_cm3,0.7888393111995721,0.7888393111995721
total_nitrogen_g_kg,bulk_density_g_cm3,-0.7830173216913032,0.7830173216913032
organic_carbon_g_kg,coarse_fragments_vol_pct,0.7657844804817054,0.7657844804817054
total_nitrogen_g_kg,coarse_fragments_vol_pct,0.7337859026863588,0.7337859026863588
organic_carbon_g_kg,bulk_density_g_cm3,-0.7249625975463053,0.7249625975463053
sand_pct,clay_pct,-0.7091084054407387,0.7091084054407387
ph_h2o,organic_carbon_g_kg,-0.6969226459673529,0.6969226459673529
cec_cmol_kg,coarse_fragments_vol_pct,0.6768235839467625,0.6768235839467625
bulk_density_g_cm3,coarse_fragments_vol_pct,-0.6669977965625876,0.6669977965625876
ph_h2o,coarse_fragments_vol_pct,-0.6609778336922008,0.6609778336922008
organic_carbon_g_kg,cec_cmol_kg,0.5490856731588049,0.5490856731588049
longitude,total_nitrogen_g_kg,0.5391368142124101,0.5391368142124101
latitude,silt_pct,0.5262013676798657,0.5262013676798657
latitude,total_nitrogen_g_kg,0.5176024051535845,0.5176024051535845
longitude,bulk_density_g_cm3,-0.5146943196665487,0.5146943196665487
latitude,sand_pct,-0.5135861199258974,0.5135861199258974
latitude,organic_carbon_g_kg,0.5097655867047044,0.5097655867047044
longitude,ph_h2o,-0.5048325932751038,0.5048325932751038
total_nitrogen_g_kg,cec_cmol_kg,0.47345256522233764,0.47345256522233764
longitude,organic_carbon_g_kg,0.44841139257188856,0.44841139257188856
latitude,ph_h2o,-0.44548014260882973,0.44548014260882973
longitude,coarse_fragments_vol_pct,0.3954561795500261,0.3954561795500261
ph_h2o,cec_cmol_kg,-0.39255971835058706,0.39255971835058706
bulk_density_g_cm3,cec_cmol_kg,-0.30995139225180296,0.30995139225180296
clay_pct,coarse_fragments_vol_pct,-0.3060581546672019,0.3060581546672019
latitude,bulk_density_g_cm3,-0.2853709817243101,0.2853709817243101
silt_pct,clay_pct,0.2715139460210179,0.2715139460210179
latitude,clay_pct,0.2509999272845617,0.2509999272845617
sand_pct,coarse_fragments_vol_pct,0.24748065878234587,0.24748065878234587
longitude,sand_pct,-0.22924528360243615,0.22924528360243615
longitude,silt_pct,0.21491608370386897,0.21491608370386897
latitude,coarse_fragments_vol_pct,0.1853367530612513,0.1853367530612513
total_nitrogen_g_kg,silt_pct,0.17482733149587534,0.17482733149587534
longitude,cec_cmol_kg,0.17133387735704608,0.17133387735704608
organic_carbon_g_kg,silt_pct,0.15618208188375876,0.15618208188375876
sand_pct,bulk_density_g_cm3,-0.1509559779275745,0.1509559779275745
organic_carbon_g_kg,clay_pct,-0.14776856489054865,0.14776856489054865
longitude,clay_pct,0.1407665442357458,0.1407665442357458
ph_h2o,clay_pct,-0.13699580568332143,0.13699580568332143
clay_pct,bulk_density_g_cm3,0.1288366757576519,0.1288366757576519
ph_h2o,sand_pct,0.12598811079800867,0.12598811079800867
total_nitrogen_g_kg,sand_pct,-0.12582228665702658,0.12582228665702658
silt_pct,coarse_fragments_vol_pct,-0.12467868608793455,0.12467868608793455
clay_pct,cec_cmol_kg,-0.12110528770063556,0.12110528770063556
silt_pct,bulk_density_g_cm3,0.11630809979818776,0.11630809979818776
sand_pct,cec_cmol_kg,0.10465444673715268,0.10465444673715268
latitude,cec_cmol_kg,0.09612571582887144,0.09612571582887144
ph_h2o,silt_pct,-0.07656065126885915,0.07656065126885915
silt_pct,cec_cmol_kg,-0.058525687149627775,0.058525687149627775
organic_carbon_g_kg,sand_pct,-0.03904207916082622,0.03904207916082622
latitude,longitude,-0.00762752018700551,0.00762752018700551
total_nitrogen_g_kg,clay_pct,-0.004439434023759147,0.004439434023759147
