column,q1,q3,iqr,sample_outliers,outlier_percent
latitude,28.789246,31.370129,2.580883,0,0.0
longitude,74.768218,76.884306,2.1160879999999906,0,0.0
depth_top_cm,30.0,30.0,0.0,0,0.0
depth_bottom_cm,60.0,60.0,0.0,0,0.0
ph_h2o,7.4,8.2,0.7999999999999989,5410,10.82
organic_carbon_g_kg,3.8,6.6,2.8,7266,14.532
total_nitrogen_g_kg,0.51,0.89,0.38,6581,13.162
sand_pct,35.0,45.8,10.799999999999997,1388,2.776
silt_pct,28.4,35.5,7.100000000000001,2485,4.97
clay_pct,24.5,30.6,6.100000000000001,551,1.102
bulk_density_g_cm3,1.43,1.53,0.10000000000000009,3167,6.334
cec_cmol_kg,13.7,18.8,5.100000000000001,1880,3.76
coarse_fragments_vol_pct,7.3,15.7,8.399999999999999,2567,5.134
