,m49_code,cpc_code,year,loss_percentage,loss_percentage_original,loss_quantity
m49_code,1.0,0.05489074119590339,0.006283098081330275,0.0602026045664713,0.11962955876911377,0.0862192465749589
cpc_code,0.05489074119590339,1.0,-0.05450296536628924,0.17014908776592877,0.5159108299594145,-0.06000708820285365
year,0.006283098081330275,-0.05450296536628924,1.0,-0.019673009299733073,-0.03811805519447928,0.04165377989258217
loss_percentage,0.0602026045664713,0.17014908776592877,-0.019673009299733073,1.0,1.0,0.16925276085032942
loss_percentage_original,0.11962955876911377,0.5159108299594145,-0.03811805519447928,1.0,1.0,0.3712432269888213
loss_quantity,0.0862192465749589,-0.06000708820285365,0.04165377989258217,0.16925276085032942,0.3712432269888213,1.0
